FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,state_descriptions,geographic_areas_code,geographic_areas_desc,CAUSES,MONTH
2003,2452651.5,12,,Arson,4.0,B,31.1253,-89.5936,MS,Mississippi,SA,Southern Area,Human,Jan
2007,2454297.5,197,,Debris Burning,0.1,A,39.58432727,-78.01382385,WV,West Virginia,EA,Eastern Area,Human,Jul
2008,2454599.5,134,,Powerline,0.25,A,44.1897,-96.8587,SD,South Dakota,NR,Northern Rockies,Human,May
2003,2452824.5,185,2130.0,Fireworks,0.1,A,41.0832,-123.6012,CA,California,CA,California,Human,Jul
2000,2451768.5,225,2136.0,Arson,1.0,B,34.7622,-88.4725,MS,Mississippi,SA,Southern Area,Human,Aug
1992,2448679.5,58,1330.0,Missing/Undefined,4.0,B,36.48759826,-94.92610179,OK,Oklahoma,SA,Southern Area,Undefined,Feb
1993,2449208.5,221,,Railroad,10.0,C,29.34,-82.55,FL,Florida,SA,Southern Area,Human,Aug
1999,2451424.5,246,,Miscellaneous,3.3,B,31.625,-85.3047,AL,Alabama,SA,Southern Area,Undefined,Sep
2001,2451945.5,36,,Debris Burning,3.0,B,34.475,-92.3586,AR,Arkansas,SA,Southern Area,Human,Feb
1999,2451437.5,259,,Miscellaneous,7.0,B,31.9931,-92.2183,LA,Louisiana,SA,Southern Area,Undefined,Sep
1992,2448706.5,85,,Campfire,7.0,B,39.44167,-75.04166,NJ,New Jersey,,National,Human,Mar
2008,2454551.5,86,,Debris Burning,0.1,A,33.8569,-80.84598,SC,South Carolina,SA,Southern Area,Human,Mar
2003,2452801.5,162,1723.0,Children,0.1,A,35.7361,-109.0656,AZ,Arizona,SW,Southwest,Human,Jun
2007,2454278.5,178,1820.0,Fireworks,0.1,A,43.0267,-102.5594,SD,South Dakota,NR,Northern Rockies,Human,Jun
2006,2453973.5,238,,Equipment Use,0.1,A,38.96360997,-75.82611001,MD,Maryland,EA,Eastern Area,Human,Aug
1996,2450201.5,119,,Miscellaneous,5.0,B,31.03958,-94.77708,TX,Texas,SA,Southern Area,Undefined,Apr
2007,2454361.5,261,1649.0,Lightning,0.1,A,47.04444444,-115.8986111,ID,Idaho,GB,Great Basin,Lightning,Sep
2000,2451904.5,361,,Debris Burning,1.5,B,35.6833,-80.85,NC,North Carolina,,National,Human,Dec
2003,2452817.5,178,1958.0,Children,0.1,A,48.1164,-105.1722,MT,Montana,RM,Rocky Mountain,Human,Jun
1999,2451290.5,112,,Miscellaneous,0.1,A,37.13,-77.9617,VA,Virginia,EA,Eastern Area,Undefined,Apr
2001,2451928.5,19,,Miscellaneous,35.0,C,30.3889,-82.6853,FL,Florida,SA,Southern Area,Undefined,Jan
2000,2451551.5,8,1730.0,Children,0.1,A,45.005,-101.226,SD,South Dakota,NR,Northern Rockies,Human,Jan
2008,2454620.5,155,,Miscellaneous,1.0,B,33.01498,-97.38979,TX,Texas,SA,Southern Area,Undefined,Jun
2008,2454686.5,221,,Lightning,0.1,A,31.51895838,-82.35106855,GA,Georgia,SA,Southern Area,Lightning,Aug
2009,2454929.5,98,,Debris Burning,8.0,B,44.0068,-85.61947,MI,Michigan,NR,Northern Rockies,Human,Apr
2003,2452883.5,244,1612.0,Lightning,0.1,A,36.2766,-113.2927,AZ,Arizona,SW,Southwest,Lightning,Sep
1996,2450280.5,198,1130.0,Equipment Use,169.5,D,48.2675,-105.7083,MT,Montana,RM,Rocky Mountain,Human,Jul
1998,2451014.5,201,,Smoking,0.8,B,36.2517,-79.2183,NC,North Carolina,,National,Human,Jul
1998,2450903.5,90,,Lightning,0.1,A,36.375,-85.7267,TN,Tennessee,SA,Southern Area,Lightning,Mar
2009,2455066.5,235,1755.0,Equipment Use,0.3,B,43.3659,-115.97648,ID,Idaho,GB,Great Basin,Human,Aug
1999,2451342.5,164,,Arson,3.0,B,36.7083,-79.9417,VA,Virginia,EA,Eastern Area,Human,Jun
1998,2451170.5,357,,Miscellaneous,0.1,A,36.1917,-88.66,TN,Tennessee,SA,Southern Area,Undefined,Dec
1992,2448682.5,61,1300.0,Arson,50.0,C,36.56101521,-92.87043115,MO,Missouri,SA,Southern Area,Human,Mar
2005,2453459.5,89,,Debris Burning,2.0,B,33.59749997,-80.17861002,SC,South Carolina,SA,Southern Area,Human,Mar
1992,2448848.5,227,1954.0,Lightning,0.1,A,43.4525,-121.1547222,OR,Oregon,NW,Northwest,Lightning,Aug
2006,2453803.5,68,,Miscellaneous,62.0,C,30.32443999,-99.08361001,TX,Texas,SA,Southern Area,Undefined,Mar
2008,2454607.5,142,2010.0,Miscellaneous,5.0,B,46.4117,-100.5914,ND,North Dakota,NR,Northern Rockies,Undefined,May
2001,2452270.5,361,,Debris Burning,0.3,B,33.8958,-81.1808,SC,South Carolina,SA,Southern Area,Human,Dec
1994,2449428.5,76,,Debris Burning,2.0,B,35.3517,-78.915,NC,North Carolina,,National,Human,Mar
2008,2454639.5,174,,Debris Burning,0.1,A,64.81666667,-147.7833333,AK,Alaska,AK,Alaska,Human,Jun
1995,2450064.5,347,1052.0,Arson,1.0,B,31.73128586,-88.88353388,MS,Mississippi,SA,Southern Area,Human,Dec
1996,2450244.5,162,1700.0,Debris Burning,1.0,B,30.88295432,-88.6883112,MS,Mississippi,SA,Southern Area,Human,Jun
2007,2454197.5,97,,Equipment Use,1.13,B,31.78781385,-83.70361676,GA,Georgia,SA,Southern Area,Human,Apr
